Type,ID,X,Y,Width,Height,ParentID,RelativeX,RelativeY,Align,Color,ShelfID,StoragePlaceID
Direction,-,0,0,0,0,,0,0,right,-,,
Scroll,-,,,4000,800,,,,,,,
Rack,rack1,500,50,300,600,,,,,#888888,,
Rectangle,G0622110,0,0,100,100,rack1,0,100,left,#888888,G0622110,G0622110
Rectangle,G0622120,0,0,100,100,rack1,100,100,left,#888888,G0622120,G0622120
Rectangle,G0620110,0,0,100,100,rack1,200,100,left,#888888,G0620110,G0620110
Rectangle,G0620120,0,0,100,100,rack1,300,100,left,#888888,G0620120,G0620120
Rectangle,G0618110,0,0,100,100,rack1,400,100,left,#888888,G0618110,G0618110
Rectangle,G0618120,0,0,100,100,rack1,500,100,left,#888888,G0618120,G0618120
Rectangle,G0616110,0,0,100,100,rack1,600,100,left,#888888,G0616110,G0616110
Rectangle,G0616120,0,0,100,100,rack1,700,100,left,#888888,G0616120,G0616120
Rectangle,G0614110,0,0,100,100,rack1,800,100,left,#888888,G0614110,G0614110
Rectangle,G0614120,0,0,100,100,rack1,900,100,left,#888888,G0614120,G0614120
Rectangle,G0612110,0,0,100,100,rack1,1000,100,left,#888888,G0612110,G0612110
Rectangle,G0612120,0,0,100,100,rack1,1100,100,left,#888888,G0612120,G0612120
Rectangle,G0610110,0,0,100,100,rack1,1200,100,left,#888888,G0610110,G0610110
Rectangle,G0610120,0,0,100,100,rack1,1300,100,left,#888888,G0610120,G0610120
Rectangle,G0608110,0,0,100,100,rack1,1400,100,left,#888888,G0608110,G0608110
Rectangle,G0608120,0,0,100,100,rack1,1500,100,left,#888888,G0608120,G0608120
Rectangle,G0606110,0,0,100,100,rack1,1600,100,left,#888888,G0606110,G0606110
Rectangle,G0606120,0,0,100,100,rack1,1700,100,left,#888888,G0606120,G0606120
Rectangle,G0604110,0,0,100,100,rack1,1800,100,left,#888888,G0604110,G0604110
Rectangle,G0604120,0,0,100,100,rack1,1900,100,left,#888888,G0604120,G0604120
Rectangle,G0602110,0,0,100,100,rack1,2000,100,left,#888888,G0602110,G0602110
Rectangle,G0602120,0,0,100,100,rack1,2100,100,left,#888888,G0602120,G0602120
,,,,,,,,,,,,
Rectangle,G0622210,0,0,100,100,rack1,0,200,left,#888888,G0622210,G0622210
Rectangle,G0622220,0,0,100,100,rack1,100,200,left,#888888,G0622220,G0622220
Rectangle,G0620210,0,0,100,100,rack1,200,200,left,#888888,G0620210,G0620210
Rectangle,G0620220,0,0,100,100,rack1,300,200,left,#888888,G0620220,G0620220
Rectangle,G0618210,0,0,100,100,rack1,400,200,left,#888888,G0618210,G0618210
Rectangle,G0618220,0,0,100,100,rack1,500,200,left,#888888,G0618220,G0618220
Rectangle,G0616210,0,0,100,100,rack1,600,200,left,#888888,G0616210,G0616210
Rectangle,G0616220,0,0,100,100,rack1,700,200,left,#888888,G0616220,G0616220
Rectangle,G0614210,0,0,100,100,rack1,800,200,left,#888888,G0614210,G0614210
Rectangle,G0614220,0,0,100,100,rack1,900,200,left,#888888,G0614220,G0614220
Rectangle,G0612210,0,0,100,100,rack1,1000,200,left,#888888,G0612210,G0612210
Rectangle,G0612220,0,0,100,100,rack1,1100,200,left,#888888,G0612220,G0612220
Rectangle,G0610210,0,0,100,100,rack1,1200,200,left,#888888,G0610210,G0610210
Rectangle,G0610220,0,0,100,100,rack1,1300,200,left,#888888,G0610220,G0610220
Rectangle,G0608210,0,0,100,100,rack1,1400,200,left,#888888,G0608210,G0608210
Rectangle,G0608220,0,0,100,100,rack1,1500,200,left,#888888,G0608220,G0608220
Rectangle,G0606210,0,0,100,100,rack1,1600,200,left,#888888,G0606210,G0606210
Rectangle,G0606220,0,0,100,100,rack1,1700,200,left,#888888,G0606220,G0606220
Rectangle,G0604210,0,0,100,100,rack1,1800,200,left,#888888,G0604210,G0604210
Rectangle,G0604220,0,0,100,100,rack1,1900,200,left,#888888,G0604220,G0604220
Rectangle,G0602210,0,0,100,100,rack1,2000,200,left,#888888,G0602210,G0602210
Rectangle,G0602220,0,0,100,100,rack1,2100,200,left,#888888,G0602220,G0602220
,,,,,,,,,,,,
Rectangle,G0622310,0,0,100,100,rack1,0,300,left,#888888,G0622310,G0622310
Rectangle,G0622320,0,0,100,100,rack1,100,300,left,#888888,G0622320,G0622320
Rectangle,G0620310,0,0,100,100,rack1,200,300,left,#888888,G0620310,G0620310
Rectangle,G0620320,0,0,100,100,rack1,300,300,left,#888888,G0620320,G0620320
