Type,ID,X,Y,Width,Height,ParentID,RelativeX,RelativeY,Align,Color,ShelfID,StoragePlaceID
Direction,-,0,0,0,0,,0,0,right,-,,
Scroll,-,,,4000,800,,,,,,,
Rack,rack1,500,50,300,600,,,,,#888888,,
Rectangle,G0621120,0,0,100,100,rack1,0,100,left,#888888,G0621120,G0621120
Rectangle,G0621110,0,0,100,100,rack1,100,100,left,#888888,G0621110,G0621110
Rectangle,G0619120,0,0,100,100,rack1,200,100,left,#888888,G0619120,G0619120
Rectangle,G0619110,0,0,100,100,rack1,300,100,left,#888888,G0619110,G0619110
Rectangle,G0617120,0,0,100,100,rack1,400,100,left,#888888,G0617120,G0617120
Rectangle,G0617110,0,0,100,100,rack1,500,100,left,#888888,G0617110,G0617110
Rectangle,G0615120,0,0,100,100,rack1,600,100,left,#888888,G0615120,G0615120
Rectangle,G0615110,0,0,100,100,rack1,700,100,left,#888888,G0615110,G0615110
Rectangle,G0613120,0,0,100,100,rack1,800,100,left,#888888,G0613120,G0613120
Rectangle,G0613110,0,0,100,100,rack1,900,100,left,#888888,G0613110,G0613110
Rectangle,G0611120,0,0,100,100,rack1,1000,100,left,#888888,G0611120,G0611120
Rectangle,G0611110,0,0,100,100,rack1,1100,100,left,#888888,G0611110,G0611110
Rectangle,G0609120,0,0,100,100,rack1,1200,100,left,#888888,G0609120,G0609120
Rectangle,G0609110,0,0,100,100,rack1,1300,100,left,#888888,G0609110,G0609110
Rectangle,G0607120,0,0,100,100,rack1,1400,100,left,#888888,G0607120,G0607120
Rectangle,G0607110,0,0,100,100,rack1,1500,100,left,#888888,G0607110,G0607110
Rectangle,G0605120,0,0,100,100,rack1,1600,100,left,#888888,G0605120,G0605120
Rectangle,G0605110,0,0,100,100,rack1,1700,100,left,#888888,G0605110,G0605110
Rectangle,G0603120,0,0,100,100,rack1,1800,100,left,#888888,G0603120,G0603120
Rectangle,G0603110,0,0,100,100,rack1,1900,100,left,#888888,G0603110,G0603110
Rectangle,G0601120,0,0,100,100,rack1,2000,100,left,#888888,G0601120,G0601120
Rectangle,G0601110,0,0,100,100,rack1,2100,100,left,#888888,G0601110,G0601110
,,,,,,,,,,,,
Rectangle,G0621220,0,0,100,100,rack1,0,200,left,#888888,G0621220,G0621220
Rectangle,G0621210,0,0,100,100,rack1,100,200,left,#888888,G0621210,G0621210
Rectangle,G0619220,0,0,100,100,rack1,200,200,left,#888888,G0619220,G0619220
Rectangle,G0619210,0,0,100,100,rack1,300,200,left,#888888,G0619210,G0619210
Rectangle,G0617220,0,0,100,100,rack1,400,200,left,#888888,G0617220,G0617220
Rectangle,G0617210,0,0,100,100,rack1,500,200,left,#888888,G0617210,G0617210
Rectangle,G0615220,0,0,100,100,rack1,600,200,left,#888888,G0615220,G0615220
Rectangle,G0615210,0,0,100,100,rack1,700,200,left,#888888,G0615210,G0615210
Rectangle,G0613220,0,0,100,100,rack1,800,200,left,#888888,G0613220,G0613220
Rectangle,G0613210,0,0,100,100,rack1,900,200,left,#888888,G0613210,G0613210
Rectangle,G0611220,0,0,100,100,rack1,1000,200,left,#888888,G0611220,G0611220
Rectangle,G0611210,0,0,100,100,rack1,1100,200,left,#888888,G0611210,G0611210
Rectangle,G0609220,0,0,100,100,rack1,1200,200,left,#888888,G0609220,G0609220
Rectangle,G0609210,0,0,100,100,rack1,1300,200,left,#888888,G0609210,G0609210
Rectangle,G0607220,0,0,100,100,rack1,1400,200,left,#888888,G0607220,G0607220
Rectangle,G0607210,0,0,100,100,rack1,1500,200,left,#888888,G0607210,G0607210
Rectangle,G0605220,0,0,100,100,rack1,1600,200,left,#888888,G0605220,G0605220
Rectangle,G0605210,0,0,100,100,rack1,1700,200,left,#888888,G0605210,G0605210
Rectangle,G0603220,0,0,100,100,rack1,1800,200,left,#888888,G0603220,G0603220
Rectangle,G0603210,0,0,100,100,rack1,1900,200,left,#888888,G0603210,G0603210
Rectangle,G0601220,0,0,100,100,rack1,2000,200,left,#888888,G0601220,G0601220
Rectangle,G0601210,0,0,100,100,rack1,2100,200,left,#888888,G0601210,G0601210
,,,,,,,,,,,,
Rectangle,G0621320,0,0,100,100,rack1,0,300,left,#888888,G0621320,G0621320
Rectangle,G0621310,0,0,100,100,rack1,100,300,left,#888888,G0621310,G0621310
Rectangle,G0619320,0,0,100,100,rack1,200,300,left,#888888,G0619320,G0619320
Rectangle,G0619310,0,0,100,100,rack1,300,300,left,#888888,G0619310,G0619310
